"","Park","Year","SingleVisitorEntryFee"
"697","Everglades NP","2013",NA
"698","Everglades NP","2014",NA
"699","Everglades NP","2015",NA
"700","Everglades NP","2016",NA
"701","Everglades NP","2017",NA
"702","Everglades NP","2018",NA
"703","Gates of the Arctic NP & PRES","1980",NA
"704","Gates of the Arctic NP & PRES","1981",NA
"705","Gates of the Arctic NP & PRES","1982",NA
"706","Gates of the Arctic NP & PRES","1983",NA
"707","Gates of the Arctic NP & PRES","1984",NA
"708","Gates of the Arctic NP & PRES","1985",NA
"709","Gates of the Arctic NP & PRES","1986",NA
"710","Gates of the Arctic NP & PRES","1987",NA
"711","Gates of the Arctic NP & PRES","1988",NA
"712","Gates of the Arctic NP & PRES","1989",NA
"713","Gates of the Arctic NP & PRES","1990",NA
"714","Gates of the Arctic NP & PRES","1991",NA
"715","Gates of the Arctic NP & PRES","1992",NA
"716","Gates of the Arctic NP & PRES","1993",NA
"717","Gates of the Arctic NP & PRES","1994",NA
"718","Gates of the Arctic NP & PRES","1995",NA
"719","Gates of the Arctic NP & PRES","1996",NA
"720","Gates of the Arctic NP & PRES","1997",NA
"721","Gates of the Arctic NP & PRES","1998",NA
"722","Gates of the Arctic NP & PRES","1999",NA
"723","Gates of the Arctic NP & PRES","2000",NA
"724","Gates of the Arctic NP & PRES","2001",NA
"725","Gates of the Arctic NP & PRES","2002",NA
"726","Gates of the Arctic NP & PRES","2003",NA
"727","Gates of the Arctic NP & PRES","2004",NA
"728","Gates of the Arctic NP & PRES","2005",NA
"729","Gates of the Arctic NP & PRES","2006",NA
"730","Gates of the Arctic NP & PRES","2007",NA
"731","Gates of the Arctic NP & PRES","2008",NA
"732","Gates of the Arctic NP & PRES","2009",NA
"733","Gates of the Arctic NP & PRES","2010",NA
"734","Gates of the Arctic NP & PRES","2011",NA
"735","Gates of the Arctic NP & PRES","2012",NA
"736","Gates of the Arctic NP & PRES","2013",NA
"737","Gates of the Arctic NP & PRES","2014",NA
"738","Gates of the Arctic NP & PRES","2015",NA
"739","Gates of the Arctic NP & PRES","2016",NA
"740","Gates of the Arctic NP & PRES","2017",NA
"741","Gates of the Arctic NP & PRES","2018",NA
"742","Glacier NP","1980",NA
