,X1,UnitCode,Year,Month,ParkName,RecreationVisits,Smoke,stdsmoke,Season,CatColS,CatColM
130,1291,BADL,2009,7,Badlands NP,249779,1.26E-09,-0.095032867,Summer,BADLSummer,BADL07
131,1301,BADL,2010,5,Badlands NP,71909,2.92E-09,0.385792153,Spring,BADLSpring,BADL05
132,1311,BADL,2011,3,Badlands NP,16375,2.82E-09,0.356795442,Spring,BADLSpring,BADL03
133,1321,BADL,2012,1,Badlands NP,9660,2.30E-09,0.204994635,Winter,BADLWinter,BADL01
134,1331,BADL,2012,11,Badlands NP,17791,1.82E-09,0.069143654,Fall,BADLFall,BADL11
135,1341,BADL,2013,9,Badlands NP,104029,1.04E-09,-0.158439841,Fall,BADLFall,BADL09
136,1351,BADL,2014,7,Badlands NP,210370,1.87E-09,0.081674827,Summer,BADLSummer,BADL07
137,1361,BADL,2015,5,Badlands NP,68239,6.48E-09,1.41325001,Spring,BADLSpring,BADL05
138,1371,BADL,2016,3,Badlands NP,20501,1.23E-09,-0.102994483,Spring,BADLSpring,BADL03
139,1381,BADL,2017,1,Badlands NP,10380,9.71E-10,-0.17720174,Winter,BADLWinter,BADL01
140,1391,BADL,2017,11,Badlands NP,16807,1.60E-09,0.005272391,Fall,BADLFall,BADL11
141,1401,BADL,2018,9,Badlands NP,116826,1.22E-09,-0.104996814,Fall,BADLFall,BADL09
142,1411,BIBE,1980,7,Big Bend NP,8574,3.06E-09,0.425662615,Summer,BIBESummer,BIBE07
143,1421,BIBE,1981,5,Big Bend NP,17269,2.12E-09,0.154788564,Spring,BIBESpring,BIBE05
144,1431,BIBE,1982,3,Big Bend NP,24188,2.41E-09,0.238951245,Spring,BIBESpring,BIBE03
145,1441,BIBE,1983,1,Big Bend NP,10415,9.33E-10,-0.188057773,Winter,BIBEWinter,BIBE01
146,1451,BIBE,1983,11,Big Bend NP,16490,1.28E-09,-0.088155256,Fall,BIBEFall,BIBE11
147,1461,BIBE,1984,9,Big Bend NP,7683,1.31E-09,-0.078045367,Fall,BIBEFall,BIBE09
148,1471,BIBE,1985,7,Big Bend NP,10093,2.43E-09,0.243900185,Summer,BIBESummer,BIBE07
149,1481,BIBE,1986,5,Big Bend NP,18883,2.50E-09,0.264436452,Spring,BIBESpring,BIBE05
150,1491,BIBE,1987,3,Big Bend NP,30745,2.05E-09,0.133891912,Spring,BIBESpring,BIBE03
151,1501,BIBE,1988,1,Big Bend NP,7488,1.70E-09,0.032787163,Winter,BIBEWinter,BIBE01
152,1511,BIBE,1988,11,Big Bend NP,22089,1.84E-09,0.072703955,Fall,BIBEFall,BIBE11
153,1521,BIBE,1989,9,Big Bend NP,16539,1.03E-09,-0.160749978,Fall,BIBEFall,BIBE09
154,1531,BIBE,1990,7,Big Bend NP,12267,3.16E-09,0.453880438,Summer,BIBESummer,BIBE07
155,1541,BIBE,1991,5,Big Bend NP,24502,2.72E-09,0.326628506,Spring,BIBESpring,BIBE05
156,1551,BIBE,1992,3,Big Bend NP,35180,1.06E-09,-0.150160261,Spring,BIBESpring,BIBE03
157,1561,BIBE,1993,1,Big Bend NP,26182,1.51E-09,-0.022841814,Winter,BIBEWinter,BIBE01
158,1571,BIBE,1993,11,Big Bend NP,31317,1.85E-09,0.076962373,Fall,BIBEFall,BIBE11
159,1581,BIBE,1994,9,Big Bend NP,17816,1.51E-09,-0.020563108,Fall,BIBEFall,BIBE09
160,1591,BIBE,1995,7,Big Bend NP,17250,1.47E-09,-0.032152084,Summer,BIBESummer,BIBE07
161,1601,BIBE,1996,5,Big Bend NP,28018,3.15E-09,0.451090343,Spring,BIBESpring,BIBE05
162,1611,BIBE,1997,3,Big Bend NP,49984,2.13E-09,0.156567865,Spring,BIBESpring,BIBE03
163,1621,BIBE,1998,1,Big Bend NP,27089,1.17E-09,-0.120845362,Winter,BIBEWinter,BIBE01
164,1631,BIBE,1998,11,Big Bend NP,27028,8.93E-10,-0.199694393,Fall,BIBEFall,BIBE11
165,1641,BIBE,1999,9,Big Bend NP,16658,1.28E-09,-0.087666391,Fall,BIBEFall,BIBE09
166,1651,BIBE,2000,7,Big Bend NP,16393,3.17E-09,0.45610535,Summer,BIBESummer,BIBE07
167,1661,BIBE,2001,5,Big Bend NP,36080,2.93E-09,0.389503266,Spring,BIBESpring,BIBE05
168,1671,BIBE,2002,3,Big Bend NP,54004,3.39E-09,0.520172633,Spring,BIBESpring,BIBE03
169,1681,BIBE,2003,1,Big Bend NP,27725,1.35E-09,-0.069000772,Winter,BIBEWinter,BIBE01
170,1691,BIBE,2003,11,Big Bend NP,30981,1.30E-09,-0.082628444,Fall,BIBEFall,BIBE11
171,1701,BIBE,2004,9,Big Bend NP,24288,6.62E-10,-0.266260817,Fall,BIBEFall,BIBE09
172,1711,BIBE,2005,7,Big Bend NP,17881,4.39E-09,0.808861294,Summer,BIBESummer,BIBE07
173,1721,BIBE,2006,5,Big Bend NP,24876,3.36E-09,0.512076545,Spring,BIBESpring,BIBE05
174,1731,BIBE,2007,3,Big Bend NP,80773,2.71E-09,0.326086456,Spring,BIBESpring,BIBE03
175,1741,BIBE,2008,1,Big Bend NP,23357,1.99E-09,0.116787755,Winter,BIBEWinter,BIBE01
176,1751,BIBE,2008,11,Big Bend NP,30998,2.02E-09,0.125240895,Fall,BIBEFall,BIBE11
177,1761,BIBE,2009,9,Big Bend NP,21066,1.26E-09,-0.093398001,Fall,BIBEFall,BIBE09
178,1771,BIBE,2010,7,Big Bend NP,15643,3.51E-09,0.556807134,Summer,BIBESummer,BIBE07
179,1781,BIBE,2011,5,Big Bend NP,39919,3.47E-09,0.544515683,Spring,BIBESpring,BIBE05
180,1791,BIBE,2012,3,Big Bend NP,32590,2.63E-09,0.300939141,Spring,BIBESpring,BIBE03
181,1801,BIBE,2013,1,Big Bend NP,22986,1.34E-09,-0.071100119,Winter,BIBEWinter,BIBE01
182,1811,BIBE,2013,11,Big Bend NP,22710,1.52E-09,-0.018806555,Fall,BIBEFall,BIBE11
183,1821,BIBE,2014,9,Big Bend NP,22475,1.08E-09,-0.145193763,Fall,BIBEFall,BIBE09
184,1831,BIBE,2015,7,Big Bend NP,22887,8.44E-09,1.979340844,Summer,BIBESummer,BIBE07
185,1841,BIBE,2016,5,Big Bend NP,40935,2.08E-09,0.141674586,Spring,BIBESpring,BIBE05
186,1851,BIBE,2017,3,Big Bend NP,74735,2.45E-09,0.249813397,Spring,BIBESpring,BIBE03
187,1861,BIBE,2018,1,Big Bend NP,33434,2.10E-09,0.149830203,Winter,BIBEWinter,BIBE01
188,1871,BIBE,2018,11,Big Bend NP,46998,1.09E-09,-0.143032931,Fall,BIBEFall,BIBE11
189,1881,BISC,1980,9,Biscayne NP,17871,7.30E-10,-0.246883528,Fall,BISCFall,BISC09
190,1891,BISC,1981,7,Biscayne NP,33116,3.34E-09,0.506888972,Summer,BISCSummer,BISC07
191,1901,BISC,1982,5,Biscayne NP,28506,1.05E-09,-0.15545238,Spring,BISCSpring,BISC05
192,1911,BISC,1983,3,Biscayne NP,25847,4.34E-10,-0.332302291,Spring,BISCSpring,BISC03
193,1921,BISC,1984,1,Biscayne NP,24320,1.10E-10,-0.425557528,Winter,BISCWinter,BISC01
194,1931,BISC,1984,11,Biscayne NP,17771,3.72E-10,-0.350027197,Fall,BISCFall,BISC11
195,1941,BISC,1985,9,Biscayne NP,28401,5.19E-10,-0.307515417,Fall,BISCFall,BISC09
196,1951,BISC,1986,7,Biscayne NP,62417,5.91E-09,1.247297263,Summer,BISCSummer,BISC07
197,1961,BISC,1987,5,Biscayne NP,55346,7.57E-10,-0.238842597,Spring,BISCSpring,BISC05
198,1971,BISC,1988,3,Biscayne NP,41007,5.90E-10,-0.287187361,Spring,BISCSpring,BISC03
199,1981,BISC,1989,1,Biscayne NP,58478,2.13E-10,-0.396021045,Winter,BISCWinter,BISC01
200,1991,BISC,1989,11,Biscayne NP,36633,3.78E-10,-0.34831224,Fall,BISCFall,BISC11
201,2001,BISC,1990,9,Biscayne NP,49400,3.17E-10,-0.365811288,Fall,BISCFall,BISC09
202,2011,BISC,1991,7,Biscayne NP,41968,7.80E-10,-0.232201744,Summer,BISCSummer,BISC07
203,2021,BISC,1992,5,Biscayne NP,61321,3.76E-10,-0.348776297,Spring,BISCSpring,BISC05
204,2031,BISC,1993,3,Biscayne NP,2861,5.14E-10,-0.309047979,Spring,BISCSpring,BISC03
205,2041,BISC,1994,1,Biscayne NP,2312,1.34E-10,-0.418669615,Winter,BISCWinter,BISC01
