"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke"
"242","ACAD","2000","02","Acadia NP",23848,5.12966280563631e-10
"243","ACAD","2000","03","Acadia NP",35423,5.75894110177444e-10
"244","ACAD","2000","04","Acadia NP",78555,1.28481014716186e-09
"245","ACAD","2000","05","Acadia NP",166456,1.67933855710345e-09
"246","ACAD","2000","06","Acadia NP",319208,1.21609078362894e-09
"247","ACAD","2000","07","Acadia NP",547929,6.44724107434769e-10
"248","ACAD","2000","08","Acadia NP",594904,4.5560807904188e-10
"249","ACAD","2000","09","Acadia NP",378135,5.96823590548468e-10
"250","ACAD","2000","10","Acadia NP",253626,4.50255249750953e-10
"251","ACAD","2000","11","Acadia NP",33693,2.84736678679565e-10
"252","ACAD","2000","12","Acadia NP",14961,4.80203710129246e-10
"253","ACAD","2001","01","Acadia NP",18090,3.61528140757628e-10
"254","ACAD","2001","02","Acadia NP",23926,5.18372733626649e-10
"255","ACAD","2001","03","Acadia NP",35473,6.29970908772037e-10
"256","ACAD","2001","04","Acadia NP",76007,1.56993584798926e-09
"257","ACAD","2001","05","Acadia NP",157353,2.03572780854699e-09
"258","ACAD","2001","06","Acadia NP",325242,1.302002616832e-09
"259","ACAD","2001","07","Acadia NP",558641,8.83994155653767e-10
"260","ACAD","2001","08","Acadia NP",630240,6.86031675911636e-10
"261","ACAD","2001","09","Acadia NP",377456,3.39505035196197e-10
"262","ACAD","2001","10","Acadia NP",257280,4.82587358963116e-10
"263","ACAD","2001","11","Acadia NP",41353,4.21684909213127e-10
"264","ACAD","2001","12","Acadia NP",15490,4.05251249224747e-10
"265","ACAD","2002","01","Acadia NP",15309,5.58077584145167e-10
"266","ACAD","2002","02","Acadia NP",25071,5.86705684035849e-10
"267","ACAD","2002","03","Acadia NP",34498,1.33853428341268e-09
"268","ACAD","2002","04","Acadia NP",72528,1.320252907e-09
"269","ACAD","2002","05","Acadia NP",163145,1.288693707302e-09
"270","ACAD","2002","06","Acadia NP",325441,1.06613262662592e-09
"271","ACAD","2002","07","Acadia NP",571119,7.64166452338344e-10
"272","ACAD","2002","08","Acadia NP",636824,5.36894639857621e-10
"273","ACAD","2002","09","Acadia NP",392531,4.58904969580232e-10
"274","ACAD","2002","10","Acadia NP",271312,4.51735676643139e-10
"275","ACAD","2002","11","Acadia NP",36589,5.12125952756293e-10
"276","ACAD","2002","12","Acadia NP",14205,4.62205579365715e-10
"277","ACAD","2003","01","Acadia NP",22917,3.30984628593711e-10
"278","ACAD","2003","02","Acadia NP",21993,8.08696998255698e-10
"279","ACAD","2003","03","Acadia NP",34274,7.73260622199956e-10
"280","ACAD","2003","04","Acadia NP",68444,1.99289029723104e-09
"281","ACAD","2003","05","Acadia NP",135443,1.51515755497655e-09
"282","ACAD","2003","06","Acadia NP",309230,1.16976983655093e-09
"283","ACAD","2003","07","Acadia NP",547836,1.57951685064717e-09
"284","ACAD","2003","08","Acadia NP",595191,7.78319075855904e-10
"285","ACAD","2003","09","Acadia NP",376060,4.47420739346782e-10
"286","ACAD","2003","10","Acadia NP",262412,3.76233960652783e-10
"287","ACAD","2003","11","Acadia NP",44294,6.86312617848017e-10
"288","ACAD","2003","12","Acadia NP",12968,4.19315387967245e-10
"289","ACAD","2004","01","Acadia NP",11861,2.94544555412557e-10
"290","ACAD","2004","02","Acadia NP",14266,3.97179289457483e-10
"291","ACAD","2004","03","Acadia NP",20952,1.1839521585344e-09
"292","ACAD","2004","04","Acadia NP",60180,1.18742216059786e-09
"293","ACAD","2004","05","Acadia NP",134597,2.13406869953303e-09
"294","ACAD","2004","06","Acadia NP",305134,1.11694187232558e-09
"295","ACAD","2004","07","Acadia NP",471406,8.97099061702988e-10
"296","ACAD","2004","08","Acadia NP",524675,7.01077307319053e-10
"297","ACAD","2004","09","Acadia NP",357146,3.3913682973008e-10
"298","ACAD","2004","10","Acadia NP",261284,3.19758330924458e-10
"299","ACAD","2004","11","Acadia NP",34125,4.08154038344932e-10
"300","ACAD","2004","12","Acadia NP",12221,5.81943770949778e-10
"301","ACAD","2005","01","Acadia NP",10810,3.79883985379692e-10
"302","ACAD","2005","02","Acadia NP",11831,5.05232078396034e-10
"303","ACAD","2005","03","Acadia NP",18917,8.2199352879897e-10
"304","ACAD","2005","04","Acadia NP",59773,1.10081699311593e-09
"305","ACAD","2005","05","Acadia NP",110330,1.40041889196141e-09
"306","ACAD","2005","06","Acadia NP",275175,8.75189143378918e-10
"307","ACAD","2005","07","Acadia NP",468512,6.79362621713864e-10
"308","ACAD","2005","08","Acadia NP",519350,2.97077223931907e-10
"309","ACAD","2005","09","Acadia NP",321070,3.57491869440452e-10
"310","ACAD","2005","10","Acadia NP",207599,3.22960880261292e-10
"311","ACAD","2005","11","Acadia NP",37101,4.6587639301876e-10
"312","ACAD","2005","12","Acadia NP",11016,6.07710881617152e-10
"313","ACAD","2006","01","Acadia NP",13494,5.42581868323566e-10
"314","ACAD","2006","02","Acadia NP",12924,6.3968053076735e-10
"315","ACAD","2006","03","Acadia NP",21695,7.81970710406199e-10
"316","ACAD","2006","04","Acadia NP",59034,1.45808931595326e-09
"317","ACAD","2006","05","Acadia NP",120889,1.71364844536726e-09
"318","ACAD","2006","06","Acadia NP",244333,1.29662247605467e-09
"319","ACAD","2006","07","Acadia NP",476631,1.15183740323488e-09
"320","ACAD","2006","08","Acadia NP",506833,7.29271032451351e-10
"321","ACAD","2006","09","Acadia NP",330649,4.84484841134503e-10
"322","ACAD","2006","10","Acadia NP",249850,4.13706457980112e-10
"323","ACAD","2006","11","Acadia NP",33903,3.34093225307086e-10
"324","ACAD","2006","12","Acadia NP",13353,5.4395260518092e-10
"325","ACAD","2007","01","Acadia NP",12415,4.54775522795714e-10
"326","ACAD","2007","02","Acadia NP",11068,4.61452598354839e-10
"327","ACAD","2007","03","Acadia NP",19220,7.96199883801307e-10
"328","ACAD","2007","04","Acadia NP",61775,1.35174405002658e-09
"329","ACAD","2007","05","Acadia NP",132152,1.44261014245473e-09
"330","ACAD","2007","06","Acadia NP",273765,1.1914317310513e-09
"331","ACAD","2007","07","Acadia NP",461894,6.72101596599362e-10
"332","ACAD","2007","08","Acadia NP",544892,4.35043306934446e-10
"333","ACAD","2007","09","Acadia NP",371217,4.79382311624477e-10
"334","ACAD","2007","10","Acadia NP",263311,4.92226648329819e-10
"335","ACAD","2007","11","Acadia NP",41449,5.12635267568839e-10
"336","ACAD","2007","12","Acadia NP",9070,4.66095217976914e-10
"337","ACAD","2008","01","Acadia NP",10744,5.33802779756343e-10
"338","ACAD","2008","02","Acadia NP",11131,4.93717788874193e-10
"339","ACAD","2008","03","Acadia NP",17489,1.26249255494315e-09
"340","ACAD","2008","04","Acadia NP",53798,1.7112924410867e-09
"341","ACAD","2008","05","Acadia NP",125679,1.46841594439451e-09
"342","ACAD","2008","06","Acadia NP",263542,1.05207942358021e-09
